artifactId,normalizedText,tags,typeEncoding,roleEncoding,workspaceEncoding,packEncoding,dependencyCount,riskScore,readinessScore
doc-docs-ai-ai-documentation-md,caredroid ai documentation docs ai ai-documentation md caredroid ai documentation generated 2026-06-28 source backend src modules ai backend src modules medical-control-plane src lib ai src data clinicalintenttoolcatalog ts baseline read first ai baseline report v1 ai baseline report v1 md capability maturity matrix v1 ai capability maturity matrix v1 md knowledge registry knowledge-registry readme md eval harness ai eval harness v1 md provenance response provenance contract v1 md model registry model registry v1 md assurance report ai assurance engineering report v1 md --- core principle caredroid ai assists clinicians it never replaces them every ai output in caredroid 1 is labeled with a confidence score or disclaimer 2 requires human review before any clinical action 3 is audit-logged with the reasoning and model used 4 can be overridden by any clinician without justification --- 1 ai architecture overview user query clinical text medical control plane intent classifier what type of query is this tool orchestrator which tool should handle it emergency escalation,document|markdown|docs|ai|ai-documentation-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-ai-ai-eval-harness-v1-md,caredroid ai evaluation harness v1 pr-4 docs ai ai eval harness v1 md caredroid ai evaluation harness v1 pr-4 field value ------- -------- version 1 0 0 date 2026-07-11 suite data ai-eval v1 runner scripts ai-eval-run mjs ci gate scripts ai-eval-gate mjs purpose replace seeded evaluation dashboard numbers as the source of truth with a locked offline synthetic suite that measures safety and contract correctness without external llm calls or phi commands bash run suite write results npm run ai eval ci gate runs suite then fails on blocking regressions npm run ai eval gate use existing latest json only node scripts ai-eval-gate mjs --skip-run outputs path content ------ --------- qa ai-eval results latest json full case gate report qa ai-eval results dashboard-run latest json shape compatible with evaluationservice merge qa ai-baseline measured-series from-eval json measured baseline metrics not seeds packs see data ai-eval v1 data card md relationship to evaluationservice - nest evaluationservice may still keep seed runs for ui demos - dashboard must treat seeds as seedonly - pr,document|markdown|docs|ai|ai-eval-harness-v1-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.2,0.6
doc-docs-ai-clinician-review-checklist-v1-md,clinician review checklist ai eval packs v1 docs ai clinician review checklist v1 md clinician review checklist ai eval packs v1 use when promoting any clinically meaningful ai change beyond offline fixture gates check pass notes --- -------- ------- ------- 1 offline npm run ai eval gate green required 2 calculator outputs match deterministic tools spot-check 5 cases 3 no prescribe diagnose disposition language in sample outputs 4 citations present and match knowledge-registry ids 5 missing-info prompts flag incomplete ems intake packets 6 uncertainty human-review language visible in ui 7 experimental heuristic features labeled honestly 8 subgroup spot-check peds geriatric pregnancy language if applicable 9 override path works no silent auto-action 10 reviewer name date recorded reviewer date candidate id,document|markdown|docs|ai|clinician-review-checklist-v1-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-ai-features-md,caredroid ai features reference docs ai features md caredroid ai features reference platform build emergency-os-2026 06 primary model claude-sonnet-4-6 anthropic claude governance posture human-reviewed clinical decision support never autonomous clinician baseline freeze 2026-07-11 ai baseline report v1 ai ai baseline report v1 md maturity matrix ai ai capability maturity matrix v1 md qa ai-baseline eval pr-4 ai eval harness v1 ai ai eval harness v1 md npm run ai eval gate authoritative offline safety suite rag pr-5 hybrid retrieval citation entailment ai rag hybrid retrieval v1 md provenance pr-6 response provenance contract ai response provenance contract v1 md evidence confidence missing info uncertainty clinician review tools honesty pr-7 8 tool capability maturity labels ai tool capability honesty v1 md registry deploy pr-10 model registry ai model registry v1 md shadow canary ai runbooks shadow canary deployment md rollback ai runbooks rollback and kill switch md assurance report pr-11 ai assurance engineering report v1 ai ai assurance,document|markdown|docs|ai-features-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-ai-knowledge-registry-readme-md,caredroid knowledge registry docs ai knowledge-registry readme md caredroid knowledge registry governed versioned evidence catalog for rag and clinical ai citations field value ------- -------- registry version 1 0 0 baseline companion ai baseline report v1 md ai baseline report v1 md index data knowledge-registry index json policy data knowledge-registry policy json schema data knowledge-registry schema knowledge-artifact schema json principles 1 no indiscriminate web scrape only authoritative licensed traceable sources 2 every accepted body has title publisher license hash jurisdiction evidence grade review status expiry provenance 3 reject promotional forum-as-evidence unlicensed full-text dumps hash mismatches unlabeled jurisdiction protocols 4 llms cite registry ids they do not invent pmids 5 institutional protocols stay jurisdiction-scoped never presented as universal directory layout data knowledge-registry index json policy json schema knowledge-artifact schema json artifacts accepted pending metadata rejected rejection stubs no full bad content,document|markdown|docs|ai|knowledge-registry|readme-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-ai-knowledge-registry-rejected-md,knowledge registry rejected materials log docs ai knowledge-registry rejected md knowledge registry rejected materials log field value ------- -------- version 1 0 0 updated 2026-07-11 policy data knowledge-registry policy json materials listed here must not be ingested into the rag vector index or cited as clinical evidence grade a c machine-readable rejection stubs data knowledge-registry rejected json --- rejection criteria summary code meaning ------ --------- missing license no clear license permitted use license not allowed license not in policy allowlist content hash mismatch file bytes do not match registered hash duplicate content hash same body already registered under another id expired without revalidation past expires at without re-review community forum as clinical evidence forums social used as clinical authority promotional or unverifiable marketing affiliate or unverifiable claims copyrighted full text without permission full copyrighted corpus dump without rights jurisdiction unlabeled for protocol institutional protocol without jurisdiction label community discussions may be used only,document|markdown|docs|ai|knowledge-registry|rejected-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-ai-llm-egress-v1-md,caredroid llm egress v1 pr-3 docs ai llm egress v1 md caredroid llm egress v1 pr-3 field value ------- -------- version 1 0 0 date 2026-07-11 code lib ai providers lib ai serverclient ts lib ai llmtransport ts goal one audited generation boundary for all external and local llm calls callai unifiedaiclient request completeviaegress 1 kill switch ai kill switch ai external llm disabled optional ai egress require ai enabled 2 phi secret minimize pattern redaction 3 primary provider adapter ai provider 4 optional fallback ai fallback provider or ai local fallback 1 5 metadata log ai egress browser clients must not hold provider keys they proxy via nest src lib ai client ts backend providers ai provider adapter notes --------------- --------- -------- anthropic default anthropic messages api full tool stream support openai chat completions non-streaming in this build azure-openai azure chat completions needs endpoint deployment key gemini generatecontent non-streaming text local deterministic degraded text no network tests offl,document|markdown|docs|ai|llm-egress-v1-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-ai-model-registry-v1-md,caredroid model registry v1 pr-10 docs ai model registry v1 md caredroid model registry v1 pr-10 field value ------- -------- data data model-registry loader lib ai modelregistry ts flags lib ai deploymentflags ts validate npm run verify model-registry seed entries id kind role ---- ------ ------ mdl-claude-sonnet-4-6-v1 foundation llm default chat generation mdl-unified-ai-node-v1 local classifier nlu artifact router mdl-caredroid-heuristic-node-v1 heuristic rules structured ai intents mdl-local-deterministic-v1 other degraded offline adapter mdl-offline-eval-harness-v1 eval harness ci safety suite required fields each entry purpose prohibiteduses owner reviewers trainingdatalineage benchmarkresults regulatoryclass jurisdictions limitations deployment environments featureflag rollback history expiresat retirementplan adding a model 1 create data model-registry entries mdl- slug -vn json 2 add id to index json entryids 3 npm run verify model-registry 4 deploy only via shadow canary ladder,document|markdown|docs|ai|model-registry-v1-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.2,0.6
doc-docs-ai-patient-intake-md,caredroid ai patient intake reference docs ai patient intake md caredroid ai patient intake reference generated 2026-07-01 source lib ai config ts lib ai promptregistry ts lib ai toolregistry ts src pages emergency smartintake tsx src pages emergency selfarrivalcheckin tsx src config intakeartifactregistry ts backend src services smart-intake service ts src data smartintakeverticalslice ts src utils patientduplicatedetection ts src types emergency ts all ai intake outputs are suggestions no autonomous identity decisions no auto-triage no auto-import of external records every extracted field requires staff verification before the patient record is finalised --- contents 1 intake channels 1-intake-channels 2 smart intake ai service 2-smart-intake-ai-service 3 document capture ocr pipeline 3-document-capture--ocr-pipeline 4 extracted field reference 4-extracted-field-reference 5 patient identity matching 5-patient-identity-matching 6 field verification workflow 6-field-verification-workflow 7 session lifecycle 7-session-lifecycle 8 auto-triage triggers 8-auto-triage-triggers 9 self-arrival check-in 9-self-arrival-check-in 10 recept,document|markdown|docs|ai-patient-intake-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-ai-production-monitoring-v1-md,production ai monitoring v1 docs ai production monitoring v1 md production ai monitoring v1 field value ------- -------- code lib ai productionmonitoring ts wired egress success failure kill switch canary shadow phi redaction incl patient-context gate unsupported tool retrieval miss events type when call sites ------ ------ ------------ egress success egress failure llm egress completes or fails lib ai providers egress ts kill switch kill engaged egress ts canary served canary path returned to user egress ts shadow candidate shadow candidate invoked log-only egress ts phi redaction phi minimize redacted tokens or patient-context gate stripped ids egress ts detail reason may be patient context gate unsupported tool tool id not resolvable no executor tool-orchestrator service ts tool-execution service ts retrieval miss rag retrieve returned zero chunks retrieval service ts clinician override product hooks later provenance missing reserved usage ts import getaimonitorsnapshot recordaimonitorevent from lib ai productionmonitoring recordaimonitore,document|markdown|docs|ai|production-monitoring-v1-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.2,0.6
doc-docs-ai-rag-hybrid-retrieval-v1-md,rag hybrid retrieval citation entailment v1 pr-5 docs ai rag hybrid retrieval v1 md rag hybrid retrieval citation entailment v1 pr-5 field value ------- -------- version 1 0 0 date 2026-07-11 pure libs lib rag hybridretrieval ts lib rag citationentailment ts backend retrievalservice citationservice ragservice hybrid retrieval default path hybrid false 1 over-fetch dense vector matches topk 3 softer minscore 2 apply knowledge-registry metadata filters specialty jurisdiction evidence grade expiry ragingestallowed 3 rrf-style fusion of vector rank lexical tf overlap rank 4 blend scores return topk disable per call retrieve query hybrid false citation entailment citationservice groundanswer text chunks stripunsupported true - splits answer into sentences - token-overlap entailment vs retrieved chunk text - strips unsupported clinical-looking sentences safe default - returns unsupportedrate for monitoring also scoreclaims scoresingleclaim registry enrichment at ingest ragservice ingest loads data knowledge-registry artifacts and merges - artifactid evidencegrade jurisdiction reviewstatus exp,document|markdown|docs|ai|rag-hybrid-retrieval-v1-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-ai-response-provenance-contract-v1-md,ai response provenance contract v1 pr-6 docs ai response provenance contract v1 md ai response provenance contract v1 pr-6 field value ------- -------- version 1 0 0 code lib ai provenancecontract ts structured ai caredroidairesponse provenance chat gateway responsecomposerservice response provenance metadata provenance required fields every clinically meaningful ai response includes field meaning ------- --------- evidence supporting chunks registry artifacts rules calculators sourceversions source id version retrievedat confidence 0 1 model or handler confidence missinginformation known gaps uncertainty human-readable residual uncertainty applicablepopulation who this applies to never universal by default limitations what the system cannot do recommendedreviewerrole who should review requiresclinicianreview always true contractversion 1 0 0 builders ts import buildairesponseprovenance from lib ai provenancecontract const provenance buildairesponseprovenance confidence 0 7 ragchunks ragsources missinginformation sbp recommendedrevi,document|markdown|docs|ai|response-provenance-contract-v1-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-ai-runbooks-rollback-and-kill-switch-md,runbook ai kill switch rollback docs ai runbooks rollback and kill switch md runbook ai kill switch rollback field value ------- -------- version 1 0 0 owner platform engineering clinical informatics related lib ai providers egress ts lib ai deploymentflags ts immediate kill stop all external llm egress bash environment secret store ai kill switch 1 or ai external llm disabled 1 effects - completeviaegress throws ai kill switch - chat copilot should degrade to deterministic tools structured heuristics if separately enabled or clear error ui - does not stop pure calculators or non-llm ops dashboards soft degrade local adapter only bash ai provider local optional automatic fallback when primary fails ai local fallback 1 ai fallback provider local rollback a canary candidate 1 set ai deploy mode full or off if unstable 2 clear ai candidate provider ai candidate model 3 set ai canary percent 0 4 confirm npm run ai eval gate still passes for residual config 5 record event in model registry entry deployment history rollback unified ai node classifiers 1 restore previous backend ml-services models nlu artifact,document|markdown|docs|ai|runbooks|rollback-and-kill-switch-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-ai-runbooks-shadow-canary-deployment-md,runbook shadow canary ai deployment docs ai runbooks shadow canary deployment md runbook shadow canary ai deployment field value ------- -------- version 1 0 0 flags lib ai deploymentflags ts modes ai deploy mode mode behavior ------ ---------- off no candidate kill-like operational pause of deploy ladder use kill switch for hard stop shadow primary response still served candidate may be invoked for log-only comparison ai shadow log only canary stable hash of user session id ai canary percent bucket gets candidate provider model full primary production path only default env reference variable purpose ---------- --------- ai deploy mode off shadow canary full ai canary percent 0 100 default 10 in code when canary ai candidate provider e g openai local ai candidate model candidate model id ai shadow log only force shadow logging semantics ai require eval gate pass ops strictness require offline gate before full policy ai kill switch immediate egress block promotion ladder mandatory dev sim shadow canary small full gates before each step,document|markdown|docs|ai|runbooks|shadow-canary-deployment-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-ai-tool-capability-honesty-v1-md,tool capability honesty v1 pr-7 ai maturity labels pr-8 docs ai tool capability honesty v1 md tool capability honesty v1 pr-7 ai maturity labels pr-8 pr-7 tool id alignment unsupported honesty executable server tools canonical post tools id execute ids live in backend tool-orchestrator registry ts registered executor tool ids 22 calculators tools aliases expanded for common names heart gcs news-2 sofa wells via executor id aliases and registry id to executor tool id unsupported tools nlu may route to many catalog ids that do not have registertool handlers those remain listed in nlu tool ids without executor and return - success false - errorcode unsupported tool when known - result data honesty from describetoolcapability - result disclaimer do not treat as completed clinical calculation - chat formatting not executed suggested surface ts import describetoolcapability from tool-orchestrator registry describetoolcapability qsofa unsupported executable unknown with honest message qsofa note qsofa is available as a frontend pure calculator path it is not in registered executor tool ids server execute will honestly re,document|markdown|docs|ai|tool-capability-honesty-v1-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-api-api-reference-md,api reference docs api api-reference md api reference consolidates both of caredroid s api surfaces into one reference for the frontend-page-consumption view which page calls which endpoint see docs generated apis md generated apis md that file is generated from pageapibinding registry ts and emergencyosapi ts and should be treated as authoritative for those 50 bindings this document is the authoritative complete endpoint inventory 500 endpoints across two route systems and explains how the two systems relate live always-current source of truth get api routes lists every legacy express route at runtime and the swagger ui at http localhost 5190 api docs all nestjs controllers request response schemas regenerate this document s nestjs section by re-reading backend src modules controller ts if it drifts two route systems one express app all requests hit a single express app app setglobalprefix api in backend src main ts puts every nestjs controller under api legacy express routers backend src api routes ts are also mounted under api directly not through nest s di guard system there is real overlap between the two e g go,document|markdown|docs|api|api-reference-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-api-catalogue-md,api catalogue architect mode stage a docs architecture architect-mode api-catalogue md api catalogue architect mode stage a dual surface nest modules primary target express routes-registry legacy flag-gated mongoose path express registry backend src api routes-registry ts path description auth target fe consumers known ------ ------------- --------------- ---------------------- api health health checks public limited backendreachability ops api capacity capacity dashboard jwt ops capacity services whiteboard api ems ems intake tracking jwt read write phi emspipeline emergencyosapi handoff api surge surge mci jwt ops api boarding boarding metrics jwt boarding panels api protocol clinical protocol triggers jwt protocol protocol ui api deterioration deterioration prediction jwt phi predictive panels api copilot ed copilot jwt use ai chat copilotpanel copilot services api intake smart patient intake jwt write phi smartintake reception bridge api moh moh fhir jwt integration integrations api wearable wearables jwt wearable ui api iot iot sensors jwt iot da,document|markdown|docs|architecture|architect-mode|api-catalogue-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-architecture-map-md,caredroid implemented architecture map architect mode docs architecture architect-mode architecture-map md caredroid implemented architecture map architect mode status implemented truth as of 2026-07-15 stage a authority traced from source entry points not planning docs supersedes for runtime truth docs architecture architecture-map md 2026-06-26 planning not implemented --- 1 runtime spine browser src main tsx theme css observability deferred startup reception preload only on reception intake paths cycle 68 src app app tsx appproviders browserrouter approutes src app router tsx caredroidrouteguard screen-mode redirects appshell src components appshell tsx canonical chrome header sidebar route outlet engines reassessment capacity workflow copilot command palette drawers displayshell wall public display modes console route trees admin governance ops platform api same process in fullstack dev backend src main ts nestfactory appmodule validationpipe apiexceptionfilter helmet nest controllers modul,document|markdown|docs|architecture|architect-mode|architecture-map-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-baseline-baseline-report-md,architect mode stage 0 baseline report docs architecture architect-mode baseline baseline-report md architect mode stage 0 baseline report date 2026-07-15 branch main head last commit 1aec4ce8 docs monday ai rag readiness verification audit cycle 62 working tree dirty cycles 63 68 uncommitted work present not force-committed scope capture green red before structural consolidation no product behavior changes in stage 0 git inventory cycles 63 68 delta uncommitted notable new files path intent ------ -------- backend src api runtime-auth ts spec ts jwt auth middleware for legacy express mongoose mounts backend src database migrations 1772701300000-createpgvectorragstore ts pgvector rag store migration backend src modules rag vector-db pgvector store ts spec ts pgvector adapter backend src modules rag retrieval tenant-adversarial spec ts tenant isolation adversarial tests lib ai providers groqadapter ts tests groq as configurable demo provider lib ai providers transportsafety ts tests llm timeout circuit phi egress safety e2e ems-copilot-handoff spec mjs playwright config ems copilot handoff e2e data ai-eval v1 baseline md baseli,document|markdown|docs|architecture|architect-mode|baseline|baseline-report-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-canonical-type-inventory-md,canonical type inventory architect mode stage a docs architecture architect-mode canonical-type-inventory md canonical type inventory architect mode stage a authority rules 1 new shared domain types src contracts domains ts 2 operation results errors src contracts results ts result errorcode 3 emergency operational fe types legacy rich model src types emergency until merged 4 nest dtos entities backend src modules dto entities wire via openapi shared package long-term 5 do not introduce parallel patient interfaces in page files frontend contracts canonical seed type symbol file status --------------- ------ -------- result ok err errorcode src contracts results ts canonical error taxonomy patientid patientstatus triageacuity patient workflowstage src contracts domains ts canonical brands partially adopted patient emergency src types emergency duplicate rich model used by store emergency role ids emergency role ids frozen object canonical fe roles routes canonical routes canonical paths api paths api config ts canonical fe path strings backend types type symbol file status ------,document|markdown|docs|architecture|architect-mode|canonical-type-inventory-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-capability-matrix-md,capability matrix architect mode stage a docs architecture architect-mode capability-matrix md capability matrix architect mode stage a legend class meaning ------- --------- verified active source outcome proven by test or traced path appears complete ui route api exists full chain unproven duplicate multiple implementations disconnected code without mount consumer unfinished stub todo partial unsafe auth tenant error or ai safety gap obsolete eligible for removal after proof --- core platform capability class evidence next ------------ ------- ---------- ------ fe single app entry verified active src main tsx src app app tsx stage 0 tests keep canonical routes map verified active routes config ts redirect tests scripts enforce no invent paths appshell chrome verified active appshell tsx wired in router stage e density theme shell named exports verified active re-exports real appshell not parallel ui document only emergency zustand store verified active emergency-store test ts workflow tests stage 0 stage f sync clarity result error contracts appears complete src contracts results ts tests not universal adop,document|markdown|docs|architecture|architect-mode|capability-matrix-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-configuration-decisions-md,configuration decisions adrs lite architect mode docs architecture architect-mode configuration-decisions md configuration decisions adrs lite architect mode id decision default rationale ---- ---------- --------- ----------- adr-a1 canonical http api nest controllers typed modules guards openapi adr-a2 express routes-registry legacy adapter behind enablemongooseemergencyos until nest parity preserve ems intake capability adr-a3 fe operational state emergencystore explicit sync dominant sot avoid second zustand patient store adr-a4 shell components appshell shell re-exports only no parallel mock shells adr-a5 routes canonical routes router mount stop path drift adr-a6 authz server nest permission jwt hipaa least privilege adr-a7 authz client ed emergency roles as views over permission sets keep 12 clinical roles in ux adr-a8 vector db pgvector durable multi-tenant in-memory unit pinecone optional tenant isolation adr-a9 ai demo provider groq configurable only offline hash default adr-a10 theme medical light single --cd- runtime stage e coherent ed os adr-a11 production schema migrations only no synchronize data safety adr-a,document|markdown|docs|architecture|architect-mode|configuration-decisions-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-dependency-graph-md,dependency graph architect mode stage a docs architecture architect-mode dependency-graph md dependency graph architect mode stage a high-level module edges arrows mean depends on calls frontend application graph main tsx theme css observability deferstartup app app tsx providers useridentity tenant theme offline router tsx auth guards appshell header sidebar emergencystore engines reassessment capacity flow automation oi knowledge living docs emergencyrealtimeservice emergencyosapi copilotpanel commandpalette drawers pages lazy services components store emergencystore config routes permissions screen models reception subgraph receptionworkspace components reception receptionintakebridge orchestrator handoff escalation quickintake emergencystore queueassignment optional api intake emergency-os ems appshell chrome minimal mode backend graph main ts appmodule nest di graph auth users audit encryption,document|markdown|docs|architecture|architect-mode|dependency-graph-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-event-catalogue-md,event catalogue architect mode stage a f partial docs architecture architect-mode event-catalogue md event catalogue architect mode stage a f partial events are not a single bus yet producers span websockets nest services fe engines and store actions stage f machine-readable contracts pr-1 cig lib cig events catalogue ts design docs architecture clinical-intelligence-graph-design md the catalogue classifies each logical event as producerclass meaning multi-user t1 twin badge ----------------- --------- -------------------------- be emitted nest be path can emit now or near-term only if durabilitydefault durable and mode a sot cutover k13 fe session fe store engines only until promoted never until promoted durable path unavailable for t1 not wired for multi-user twin no use buildcigdomainevent getcigeventcatalogueentry and iseventeligibleformultiusertwin from lib cig or lib cig transport channels channel location auth --------- ---------- ------ ems websocket backend src api ems socket ts via main ts socket jwt read phi when registered edge ai ambulance ws same registration family socket jwt sentinel avl ws same,document|markdown|docs|architecture|architect-mode|event-catalogue-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-express-consumer-matrix-md,express api consumer matrix fe docs architecture architect-mode express-consumer-matrix md express api consumer matrix fe generated 2026-07-15 grep evidence architect mode purpose phase 1 of express nest decommission who still calls legacy api groups express group fe client consumers examples notes --------------- ---------------------------------- ------- api capacity src services configservice ts path list also emergencyosapi patterns api copilot configservice ts path list prefer nest chat ai-gateway api ems configservice ts path list emspipeline emergencyosapi api governance platformgovernanceapi ts tests nest platform-governance preferred for product governance express ai governance is separate under api governance routes-registry discovery commands bash re-scan fe hard-coded legacy paths rg api ems capacity intake copilot governance boarding reassessment handover src --glob ts tsx nest-preferred product governance platformgovernanceapi ts already targets nest-style api governance clinical paths confirm nest controllers own these not express governance routes ts ai registry express governance routes ts is ai govern,document|markdown|docs|architecture|architect-mode|express-consumer-matrix-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-express-nest-decommission-plan-md,express nest decommission plan docs architecture architect-mode express-nest-decommission-plan md express nest decommission plan status active residual risk proof-pack 1 pt date 2026-07-15 goal single http authority nest controllers express registry becomes adapter-only then removed current state proven surface path auth --------- ------ ------ nest primary backend src modules controllers jwt guards tenantisolationguard express legacy backend src api routes-registry ts mounted when enablemongooseemergencyos runtime-auth jwt phi method dual prefix api and api emergency same routers dual mount route inventory express routes express path description nest target preferred parity status -------------- ------------- ------------------------- --------------- health health app health nest overlap ok capacity capacity emergency-os capacity services partial ems ems intake emergency-os live-tracking sentinel partial fe uses both surge surge mci emergency-os thin boarding boarding emergency-os thin protocol protocols clinical tool-calling thin deterioration prediction clinical,document|markdown|docs|architecture|architect-mode|express-nest-decommission-plan-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-permission-matrix-md,permission matrix nest fe emergency actions docs architecture architect-mode permission-matrix md permission matrix nest fe emergency actions stage a draft nest source backend src modules auth enums permission enum ts fe source emergency actions emergency permission keys in emergencyrolepermissions ts registry nest permission groups summary group permissions ------- ------------- phi read phi write phi export phi delete phi clinical tools use calculators use drug checker use lab interpreter use protocols use ai chat users manage users manage roles view users audit view audit logs export audit logs verify audit integrity view phi audit admin configure system manage encryption manage subscriptions view analytics governance ai security view governance manage clinical policy view ai security sentinel view sentinel command ack sentinel alarms review sentinel ai emergency trigger emergency protocol and related fe emergency action keys sample action key intent nest permission s needed target mapping ------------ -------- ----------------------------------------------- patientcreate new patient temp chart write phi patientd,document|markdown|docs|architecture|architect-mode|permission-matrix-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-proof-pack-md,caredroid architect mode unified proof pack docs architecture architect-mode proof-pack md caredroid architect mode unified proof pack date 2026-07-15 program living clinical system consolidation discover baseline characterize normalize consolidate reconnect rebuild test measure rescore success criterion not cosmetics one coherent observable secure evidence-grounded testable ed os this document is the index of proof every claim below is backed by source paths and measured gates in this folder --- 1 executive score measured dimension score evidence ----------- ------ ---------- structural coherence architect mode 97 100 this pack green gates below prior narrative readiness 94 95 pre-architect scorecard cycles net structural gain 2 3 pts dual counters fixed ai accountable rbac mapped engines gated roles characterized deduction ledger remaining 2 3 pts pts gap path to close ---- ----- --------------- 1 dual nest express http still flag-mounted express-nest-decommission-plan md express-nest-decommission-plan md 1 live postgres multi-tenant http e2e not run here docker ci job 0 5 full playwright matrix,document|markdown|docs|architecture|architect-mode|proof-pack-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-readme-md,architect mode proof pack hub docs architecture architect-mode readme md architect mode proof pack hub status program measured and consolidated 2026-07-15 start here proof-pack md proof-pack md unified score gates organism map roles risks next steps structural readiness 97 100 measured prior narrative 94 95 gain from dual-counter fix rbac jwt accountable ai ocr gate engine prod defaults multi-role characterization rag tenant defense-in-depth final measurement snapshot battery result --------- -------- architect fe 19 suites 100 passed baseline vitest-architect-full json architect be 12 suites 51 passed contract-matrix 19 passed cohesion-security 30 passed redirect-parity 58 passed fe be production build pass playwright ems copilot 3 3 pass document index doc purpose ----- --------- proof-pack md proof-pack md master deliverable stage-j-rescore md stage-j-rescore md dimension scores deductions architecture-map md architecture-map md implemented organism map dependency-graph md dependency-graph md module edges capability-matrix md capability,document|markdown|docs|architecture|architect-mode|readme-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-repaired-execution-paths-md,repaired characterized execution paths docs architecture architect-mode repaired-execution-paths md repaired characterized execution paths characterized stage b no behavior change reception pipeline url contract step location ------ ---------- deep-link keys receptionintakebridge reception pipeline url contract session build buildreceptionintakesession test src services receptioncharacterization test ts ems convert missing arrival no silent success step behavior ------ ---------- input unknown arrivalid path convertemsarrivalforreception outcome ok false reason not found not fake success test receptioncharacterization registration clerk permission path action fe grant nest map stage d -------- ---------- --------------------- patient create yes write phi intake verify yes write phi ems convertarrival yes write phi settings manage no configure system not held public display create no empty nest set tests receptioncharacterization emergencynestpermissionmap test rbac gap documented fe emergency roles nest userrole -------------------- --------------- 11 in role permission grants 4 p,document|markdown|docs|architecture|architect-mode|repaired-execution-paths-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
doc-docs-architecture-architect-mode-role-contracts-md,role contracts fe emergency roles nest userrole docs architecture architect-mode role-contracts md role contracts fe emergency roles nest userrole stage a gap map server authority nest permission enum jwt claims client ed authority emergency role ids emergencypermissionregistry problem nest userrole has 4 values fe operational roles have 12 without a mapping layer demos either open-access or deny valid work nest userrole server entity source backend src modules users entities user entity ts userrole value string ---------- -------------- physician physician nurse nurse student student admin admin permissions per role backend src modules auth config role-permissions config ts fe emergency roles source src config emergencyrolepermissions ts emergency role id label intended clinical cluster ------------------- ------- --------------------------- admin admin full ed settings it admin it admin system config ed manager ed manager ops analytics charge nurse charge nurse queue assign capacity triage nurse triage nurse triage acuity physician physician full clinical registration clerk registration cl,document|markdown|docs|architecture|architect-mode|role-contracts-md,type:document,role:admin|role:developer,workspace:documentation,pack:unknown,1,0.5,0.6
