inputText,targetArtifactId,targetCategory,targetWorkspace,targetPack,targetProduct,labelType,confidence
/api/collaboration/channels/:channelId/read,api-post-api-collaboration-channels-channelid-read,CollaborationHubController,backend,unknown,unknown,route,0.9
api|POST|CollaborationHubController,api-post-api-collaboration-channels-channelid-read,CollaborationHubController,backend,unknown,unknown,tags,0.78
POST /api/collaboration/channels/:channelId/typing,api-post-api-collaboration-channels-channelid-typing,CollaborationHubController,backend,unknown,unknown,name,0.92
/api/collaboration/channels/:channelId/typing,api-post-api-collaboration-channels-channelid-typing,CollaborationHubController,backend,unknown,unknown,route,0.9
api|POST|CollaborationHubController,api-post-api-collaboration-channels-channelid-typing,CollaborationHubController,backend,unknown,unknown,tags,0.78
POST /api/collaboration/incidents,api-post-api-collaboration-incidents,CollaborationHubController,backend,unknown,unknown,name,0.92
/api/collaboration/incidents,api-post-api-collaboration-incidents,CollaborationHubController,backend,unknown,unknown,route,0.9
api|POST|CollaborationHubController,api-post-api-collaboration-incidents,CollaborationHubController,backend,unknown,unknown,tags,0.78
POST /api/collaboration/incidents/:channelId/resolve,api-post-api-collaboration-incidents-channelid-resolve,CollaborationHubController,backend,unknown,unknown,name,0.92
/api/collaboration/incidents/:channelId/resolve,api-post-api-collaboration-incidents-channelid-resolve,CollaborationHubController,backend,unknown,unknown,route,0.9
api|POST|CollaborationHubController,api-post-api-collaboration-incidents-channelid-resolve,CollaborationHubController,backend,unknown,unknown,tags,0.78
POST /api/collaboration/messages/:messageId/attachments,api-post-api-collaboration-messages-messageid-attachments,CollaborationHubController,backend,unknown,unknown,name,0.92
/api/collaboration/messages/:messageId/attachments,api-post-api-collaboration-messages-messageid-attachments,CollaborationHubController,backend,unknown,unknown,route,0.9
api|POST|CollaborationHubController,api-post-api-collaboration-messages-messageid-attachments,CollaborationHubController,backend,unknown,unknown,tags,0.78
POST /api/collaboration/messages/:messageId/pin,api-post-api-collaboration-messages-messageid-pin,CollaborationHubController,backend,unknown,unknown,name,0.92
/api/collaboration/messages/:messageId/pin,api-post-api-collaboration-messages-messageid-pin,CollaborationHubController,backend,unknown,unknown,route,0.9
api|POST|CollaborationHubController,api-post-api-collaboration-messages-messageid-pin,CollaborationHubController,backend,unknown,unknown,tags,0.78
POST /api/collaboration/messages/:messageId/reactions,api-post-api-collaboration-messages-messageid-reactions,CollaborationHubController,backend,unknown,unknown,name,0.92
/api/collaboration/messages/:messageId/reactions,api-post-api-collaboration-messages-messageid-reactions,CollaborationHubController,backend,unknown,unknown,route,0.9
api|POST|CollaborationHubController,api-post-api-collaboration-messages-messageid-reactions,CollaborationHubController,backend,unknown,unknown,tags,0.78
POST /api/compliance/consent,api-post-api-compliance-consent,ComplianceController,backend,unknown,unknown,name,0.92
/api/compliance/consent,api-post-api-compliance-consent,ComplianceController,backend,unknown,unknown,route,0.9
api|POST|ComplianceController,api-post-api-compliance-consent,ComplianceController,backend,unknown,unknown,tags,0.78
POST /api/compliance/export,api-post-api-compliance-export,ComplianceController,backend,unknown,unknown,name,0.92
/api/compliance/export,api-post-api-compliance-export,ComplianceController,backend,unknown,unknown,route,0.9
api|POST|ComplianceController,api-post-api-compliance-export,ComplianceController,backend,unknown,unknown,tags,0.78
POST /api/consent/:patientId,api-post-api-consent-patientid,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/consent/:patientId,api-post-api-consent-patientid,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-consent-patientid,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/consent/:patientId/revoke,api-post-api-consent-patientid-revoke,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/consent/:patientId/revoke,api-post-api-consent-patientid-revoke,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-consent-patientid-revoke,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/cost-optimizer/route,api-post-api-cost-optimizer-route,CostOptimizerController,backend,unknown,unknown,name,0.92
/api/cost-optimizer/route,api-post-api-cost-optimizer-route,CostOptimizerController,backend,unknown,unknown,route,0.9
api|POST|CostOptimizerController,api-post-api-cost-optimizer-route,CostOptimizerController,backend,unknown,unknown,tags,0.78
POST /api/crashes,api-post-api-crashes,AnalyticsController,backend,unknown,unknown,name,0.92
/api/crashes,api-post-api-crashes,AnalyticsController,backend,unknown,unknown,route,0.9
api|POST|AnalyticsController,api-post-api-crashes,AnalyticsController,backend,unknown,unknown,tags,0.78
POST /api/documentation/dictation/transcribe,api-post-api-documentation-dictation-transcribe,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/documentation/dictation/transcribe,api-post-api-documentation-dictation-transcribe,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-documentation-dictation-transcribe,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/documentation/discharge-summary/draft,api-post-api-documentation-discharge-summary-draft,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/documentation/discharge-summary/draft,api-post-api-documentation-discharge-summary-draft,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-documentation-discharge-summary-draft,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/documentation/:documentId/approve,api-post-api-documentation-documentid-approve,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/documentation/:documentId/approve,api-post-api-documentation-documentid-approve,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-documentation-documentid-approve,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/documentation/:documentId/export,api-post-api-documentation-documentid-export,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/documentation/:documentId/export,api-post-api-documentation-documentid-export,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-documentation-documentid-export,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/documentation/prior-auth/draft,api-post-api-documentation-prior-auth-draft,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/documentation/prior-auth/draft,api-post-api-documentation-prior-auth-draft,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-documentation-prior-auth-draft,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/documentation/referral/draft,api-post-api-documentation-referral-draft,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/documentation/referral/draft,api-post-api-documentation-referral-draft,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-documentation-referral-draft,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/documentation/soap/draft,api-post-api-documentation-soap-draft,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/documentation/soap/draft,api-post-api-documentation-soap-draft,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-documentation-soap-draft,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/drugs,api-post-api-drugs,DrugController,backend,unknown,unknown,name,0.92
/api/drugs,api-post-api-drugs,DrugController,backend,unknown,unknown,route,0.9
api|POST|DrugController,api-post-api-drugs,DrugController,backend,unknown,unknown,tags,0.78
POST /api/emergency/analytics/ai/message,api-post-api-emergency-analytics-ai-message,EmergencyAIController,backend,unknown,unknown,name,0.92
/api/emergency/analytics/ai/message,api-post-api-emergency-analytics-ai-message,EmergencyAIController,backend,unknown,unknown,route,0.9
api|POST|EmergencyAIController,api-post-api-emergency-analytics-ai-message,EmergencyAIController,backend,unknown,unknown,tags,0.78
POST /api/emergency/clinical-calculators/results,api-post-api-emergency-clinical-calculators-results,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/clinical-calculators/results,api-post-api-emergency-clinical-calculators-results,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-clinical-calculators-results,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/copilot/interactions,api-post-api-emergency-copilot-interactions,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/copilot/interactions,api-post-api-emergency-copilot-interactions,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-copilot-interactions,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/copilot/message,api-post-api-emergency-copilot-message,EmergencyAIController,backend,unknown,unknown,name,0.92
/api/emergency/copilot/message,api-post-api-emergency-copilot-message,EmergencyAIController,backend,unknown,unknown,route,0.9
api|POST|EmergencyAIController,api-post-api-emergency-copilot-message,EmergencyAIController,backend,unknown,unknown,tags,0.78
POST /api/emergency/copilot/query,api-post-api-emergency-copilot-query,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/copilot/query,api-post-api-emergency-copilot-query,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-copilot-query,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/digital-twin/initialize,api-post-api-emergency-digital-twin-initialize,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/digital-twin/initialize,api-post-api-emergency-digital-twin-initialize,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-digital-twin-initialize,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/digital-twin/organizational/simulate,api-post-api-emergency-digital-twin-organizational-simulate,OrganizationalDigitalTwinController,backend,unknown,unknown,name,0.92
/api/emergency/digital-twin/organizational/simulate,api-post-api-emergency-digital-twin-organizational-simulate,OrganizationalDigitalTwinController,backend,unknown,unknown,route,0.9
api|POST|OrganizationalDigitalTwinController,api-post-api-emergency-digital-twin-organizational-simulate,OrganizationalDigitalTwinController,backend,unknown,unknown,tags,0.78
POST /api/emergency/digital-twin/organizational/synchronize,api-post-api-emergency-digital-twin-organizational-synchronize,OrganizationalDigitalTwinController,backend,unknown,unknown,name,0.92
/api/emergency/digital-twin/organizational/synchronize,api-post-api-emergency-digital-twin-organizational-synchronize,OrganizationalDigitalTwinController,backend,unknown,unknown,route,0.9
api|POST|OrganizationalDigitalTwinController,api-post-api-emergency-digital-twin-organizational-synchronize,OrganizationalDigitalTwinController,backend,unknown,unknown,tags,0.78
POST /api/emergency/digital-twin/scenario,api-post-api-emergency-digital-twin-scenario,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/digital-twin/scenario,api-post-api-emergency-digital-twin-scenario,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-digital-twin-scenario,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/digital-twin/simulate,api-post-api-emergency-digital-twin-simulate,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/digital-twin/simulate,api-post-api-emergency-digital-twin-simulate,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-digital-twin-simulate,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/ems/handoff,api-post-api-emergency-ems-handoff,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/ems/handoff,api-post-api-emergency-ems-handoff,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-ems-handoff,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/federated-learning/aggregate,api-post-api-emergency-federated-learning-aggregate,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/federated-learning/aggregate,api-post-api-emergency-federated-learning-aggregate,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-federated-learning-aggregate,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/federated-learning/register,api-post-api-emergency-federated-learning-register,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/federated-learning/register,api-post-api-emergency-federated-learning-register,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-federated-learning-register,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/federated-learning/update,api-post-api-emergency-federated-learning-update,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/federated-learning/update,api-post-api-emergency-federated-learning-update,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-federated-learning-update,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/governance/evaluate-priority-change,api-post-api-emergency-governance-evaluate-priority-change,EmergencyAIGovernanceController,backend,unknown,unknown,name,0.92
/api/emergency/governance/evaluate-priority-change,api-post-api-emergency-governance-evaluate-priority-change,EmergencyAIGovernanceController,backend,unknown,unknown,route,0.9
api|POST|EmergencyAIGovernanceController,api-post-api-emergency-governance-evaluate-priority-change,EmergencyAIGovernanceController,backend,unknown,unknown,tags,0.78
POST /api/emergency/intake,api-post-api-emergency-intake,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/intake,api-post-api-emergency-intake,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-intake,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/intake/ai/message,api-post-api-emergency-intake-ai-message,EmergencyAIController,backend,unknown,unknown,name,0.92
/api/emergency/intake/ai/message,api-post-api-emergency-intake-ai-message,EmergencyAIController,backend,unknown,unknown,route,0.9
api|POST|EmergencyAIController,api-post-api-emergency-intake-ai-message,EmergencyAIController,backend,unknown,unknown,tags,0.78
POST /api/emergency/intake/ocr-jobs,api-post-api-emergency-intake-ocr-jobs,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/intake/ocr-jobs,api-post-api-emergency-intake-ocr-jobs,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-intake-ocr-jobs,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/intake/ocr-jobs/:jobId/apply,api-post-api-emergency-intake-ocr-jobs-jobid-apply,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/intake/ocr-jobs/:jobId/apply,api-post-api-emergency-intake-ocr-jobs-jobid-apply,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-intake-ocr-jobs-jobid-apply,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/intake/ocr-jobs/:jobId/fields/:field/review,api-post-api-emergency-intake-ocr-jobs-jobid-fields-field-review,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/intake/ocr-jobs/:jobId/fields/:field/review,api-post-api-emergency-intake-ocr-jobs-jobid-fields-field-review,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-intake-ocr-jobs-jobid-fields-field-review,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/intake/vertical-slice,api-post-api-emergency-intake-vertical-slice,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/intake/vertical-slice,api-post-api-emergency-intake-vertical-slice,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-intake-vertical-slice,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/operational-intelligence/evaluate,api-post-api-emergency-operational-intelligence-evaluate,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/operational-intelligence/evaluate,api-post-api-emergency-operational-intelligence-evaluate,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-operational-intelligence-evaluate,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/patients,api-post-api-emergency-patients,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/patients,api-post-api-emergency-patients,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-patients,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/patients/:patientId/document-artifacts/extract,api-post-api-emergency-patients-patientid-document-artifacts-extract,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/patients/:patientId/document-artifacts/extract,api-post-api-emergency-patients-patientid-document-artifacts-extract,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-patients-patientid-document-artifacts-extract,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/reception/handoff,api-post-api-emergency-reception-handoff,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/reception/handoff,api-post-api-emergency-reception-handoff,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-reception-handoff,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/referrals,api-post-api-emergency-referrals,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/referrals,api-post-api-emergency-referrals,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-referrals,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/referrals/ai/message,api-post-api-emergency-referrals-ai-message,EmergencyAIController,backend,unknown,unknown,name,0.92
/api/emergency/referrals/ai/message,api-post-api-emergency-referrals-ai-message,EmergencyAIController,backend,unknown,unknown,route,0.9
api|POST|EmergencyAIController,api-post-api-emergency-referrals-ai-message,EmergencyAIController,backend,unknown,unknown,tags,0.78
POST /api/emergency/simulation/compare,api-post-api-emergency-simulation-compare,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/simulation/compare,api-post-api-emergency-simulation-compare,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-simulation-compare,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/simulation/evaluate,api-post-api-emergency-simulation-evaluate,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/simulation/evaluate,api-post-api-emergency-simulation-evaluate,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-simulation-evaluate,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/simulation/update-live,api-post-api-emergency-simulation-update-live,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/simulation/update-live,api-post-api-emergency-simulation-update-live,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-simulation-update-live,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/triage/assist,api-post-api-emergency-triage-assist,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/triage/assist,api-post-api-emergency-triage-assist,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-triage-assist,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/emergency/workflow-orchestration/review,api-post-api-emergency-workflow-orchestration-review,EmergencyOsController,backend,unknown,unknown,name,0.92
/api/emergency/workflow-orchestration/review,api-post-api-emergency-workflow-orchestration-review,EmergencyOsController,backend,unknown,unknown,route,0.9
api|POST|EmergencyOsController,api-post-api-emergency-workflow-orchestration-review,EmergencyOsController,backend,unknown,unknown,tags,0.78
POST /api/ems/ai-call-interrogation,api-post-api-ems-ai-call-interrogation,AICallInterrogationController,backend,unknown,unknown,name,0.92
/api/ems/ai-call-interrogation,api-post-api-ems-ai-call-interrogation,AICallInterrogationController,backend,unknown,unknown,route,0.9
api|POST|AICallInterrogationController,api-post-api-ems-ai-call-interrogation,AICallInterrogationController,backend,unknown,unknown,tags,0.78
POST /api/ems/ai-call-interrogation/ecg,api-post-api-ems-ai-call-interrogation-ecg,AICallInterrogationController,backend,unknown,unknown,name,0.92
/api/ems/ai-call-interrogation/ecg,api-post-api-ems-ai-call-interrogation-ecg,AICallInterrogationController,backend,unknown,unknown,route,0.9
api|POST|AICallInterrogationController,api-post-api-ems-ai-call-interrogation-ecg,AICallInterrogationController,backend,unknown,unknown,tags,0.78
POST /api/ems/federated/112-call,api-post-api-ems-federated-112-call,FederatedEMSController,backend,unknown,unknown,name,0.92
/api/ems/federated/112-call,api-post-api-ems-federated-112-call,FederatedEMSController,backend,unknown,unknown,route,0.9
api|POST|FederatedEMSController,api-post-api-ems-federated-112-call,FederatedEMSController,backend,unknown,unknown,tags,0.78
POST /api/evaluation/runs,api-post-api-evaluation-runs,EvaluationController,backend,unknown,unknown,name,0.92
/api/evaluation/runs,api-post-api-evaluation-runs,EvaluationController,backend,unknown,unknown,route,0.9
api|POST|EvaluationController,api-post-api-evaluation-runs,EvaluationController,backend,unknown,unknown,tags,0.78
POST /api/federated/lmecs/predict,api-post-api-federated-lmecs-predict,LMECSController,backend,unknown,unknown,name,0.92
/api/federated/lmecs/predict,api-post-api-federated-lmecs-predict,LMECSController,backend,unknown,unknown,route,0.9
api|POST|LMECSController,api-post-api-federated-lmecs-predict,LMECSController,backend,unknown,unknown,tags,0.78
POST /api/federated/lmecs/select,api-post-api-federated-lmecs-select,LMECSController,backend,unknown,unknown,name,0.92
/api/federated/lmecs/select,api-post-api-federated-lmecs-select,LMECSController,backend,unknown,unknown,route,0.9
api|POST|LMECSController,api-post-api-federated-lmecs-select,LMECSController,backend,unknown,unknown,tags,0.78
POST /api/governance/ai-security/evaluate,api-post-api-governance-ai-security-evaluate,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/ai-security/evaluate,api-post-api-governance-ai-security-evaluate,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-ai-security-evaluate,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/ai-security/incidents/:incidentId/review,api-post-api-governance-ai-security-incidents-incidentid-review,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/ai-security/incidents/:incidentId/review,api-post-api-governance-ai-security-incidents-incidentid-review,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-ai-security-incidents-incidentid-review,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/clinical/policies,api-post-api-governance-clinical-policies,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/clinical/policies,api-post-api-governance-clinical-policies,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-clinical-policies,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/clinical/policies/:policyId/approve,api-post-api-governance-clinical-policies-policyid-approve,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/clinical/policies/:policyId/approve,api-post-api-governance-clinical-policies-policyid-approve,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-clinical-policies-policyid-approve,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/clinical/release-gates/:gateId/decision,api-post-api-governance-clinical-release-gates-gateid-decision,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/clinical/release-gates/:gateId/decision,api-post-api-governance-clinical-release-gates-gateid-decision,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-clinical-release-gates-gateid-decision,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/clinical-safety/findings/:findingId/review,api-post-api-governance-clinical-safety-findings-findingid-review,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/clinical-safety/findings/:findingId/review,api-post-api-governance-clinical-safety-findings-findingid-review,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-clinical-safety-findings-findingid-review,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/equity/cohorts,api-post-api-governance-equity-cohorts,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/equity/cohorts,api-post-api-governance-equity-cohorts,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-equity-cohorts,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/equity/findings/:findingId/review,api-post-api-governance-equity-findings-findingid-review,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/equity/findings/:findingId/review,api-post-api-governance-equity-findings-findingid-review,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-equity-findings-findingid-review,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/equity/reports,api-post-api-governance-equity-reports,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/equity/reports,api-post-api-governance-equity-reports,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-equity-reports,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/regulatory/capabilities/:capabilityId/approve,api-post-api-governance-regulatory-capabilities-capabilityid-approve,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/regulatory/capabilities/:capabilityId/approve,api-post-api-governance-regulatory-capabilities-capabilityid-approve,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-regulatory-capabilities-capabilityid-approve,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/regulatory/evidence/:capabilityId/artifacts,api-post-api-governance-regulatory-evidence-capabilityid-artifacts,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/regulatory/evidence/:capabilityId/artifacts,api-post-api-governance-regulatory-evidence-capabilityid-artifacts,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-regulatory-evidence-capabilityid-artifacts,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/validation/runs,api-post-api-governance-validation-runs,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/validation/runs,api-post-api-governance-validation-runs,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-validation-runs,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/validation/runs/:runId/approve,api-post-api-governance-validation-runs-runid-approve,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/validation/runs/:runId/approve,api-post-api-governance-validation-runs-runid-approve,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-validation-runs-runid-approve,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/governance/validation/scenarios,api-post-api-governance-validation-scenarios,PlatformSystemsController,backend,unknown,unknown,name,0.92
/api/governance/validation/scenarios,api-post-api-governance-validation-scenarios,PlatformSystemsController,backend,unknown,unknown,route,0.9
api|POST|PlatformSystemsController,api-post-api-governance-validation-scenarios,PlatformSystemsController,backend,unknown,unknown,tags,0.78
POST /api/handover/er-pulse,api-post-api-handover-er-pulse,ERPulseHandoverController,backend,unknown,unknown,name,0.92
/api/handover/er-pulse,api-post-api-handover-er-pulse,ERPulseHandoverController,backend,unknown,unknown,route,0.9
api|POST|ERPulseHandoverController,api-post-api-handover-er-pulse,ERPulseHandoverController,backend,unknown,unknown,tags,0.78
POST /api/health,api-post-api-health,AnalyticsController,backend,unknown,unknown,name,0.92
/api/health,api-post-api-health,AnalyticsController,backend,unknown,unknown,route,0.9
api|POST|AnalyticsController,api-post-api-health,AnalyticsController,backend,unknown,unknown,tags,0.78
POST /api/human-review/items/:itemId/decision,api-post-api-human-review-items-itemid-decision,HumanReviewController,backend,unknown,unknown,name,0.92
/api/human-review/items/:itemId/decision,api-post-api-human-review-items-itemid-decision,HumanReviewController,backend,unknown,unknown,route,0.9
